Pawn,0.0,0.0,12.5
Pawn01,12.5,0.0,12.5
Pawn02,25.0,0.0,12.5
Pawn03,37.5,0.0,12.5
Pawn04,50.0,0.0,12.5
Pawn05,62.5,0.0,12.5
Pawn06,75.0,0.0,12.5
Pawn07,87.5,0.0,12.5
Pawn015,0.0,0.0,75.0
Pawn008,12.5,0.0,75.0
Pawn009,25.0,0.0,75.0
Pawn010,37.5,0.0,75.0
Pawn011,50.0,0.0,75.0
Pawn012,62.5,0.0,75.0
Pawn013,75.0,0.0,75.0
Pawn014,87.5,0.0,75.0
Rook,0.0,0.0,0.0
Rook01,87.5,0.0,0.0
Rook002,0.0,0.0,87.5
Rook003,87.5,0.0,87.5
Knight,12.5,0.0,0.0
Knight01,75.0,0.0,0.0
Knigh002,12.5,0.0,87.5
Knight003,75.0,0.0,87.5
Bishop,25.0,0.0,0.0
Bishop01,62.5,0.0,0.0
Bishop002,25.0,0.0,87.5
Bishop003,65.5,0.0,87.5
Queen,37.5,0.0,0.0
Queen001,37.5,0.0,87.5
King,50.0,0.0,0.0
King001,50.0,0.0,87.5
